exp_R,method,mu,mu_lower,mu_upper
0.5,fit_mu,0.4992775936169892,0.4459852232029803,0.5495632038546828
0.5,mix_fit_mu,0.49312563248661045,0.414258815995872,0.5525297708560637
0.75,fit_mu,0.7496446953942258,0.6800441317690392,0.8179999583111354
0.75,mix_fit_mu,0.7373998962507987,0.6107295065531052,0.8330294327698455
1,fit_mu,1.0023960058804349,0.9139217579648422,1.0905007977629002
1,mix_fit_mu,0.9740699564824329,0.7528074411527844,1.096918551099547
1.25,fit_mu,1.2509274704982245,1.1462277340135767,1.3563247005206807
1.25,mix_fit_mu,1.2037269154749501,0.8807792893208976,1.360448626219037
1.5,fit_mu,1.498131206910958,1.368052838641098,1.6324586243603378
1.5,mix_fit_mu,1.4419614651854251,1.0758224410935144,1.6449085545198376
1.75,fit_mu,1.7527692247258027,1.611822165599049,1.9058016081883622
1.75,mix_fit_mu,1.6723959449948675,1.2626751135766587,1.913617556710573
2,fit_mu,1.9955607913992037,1.8364336988871175,2.1578340542150958
2,mix_fit_mu,1.9348352173198915,1.5721137261341191,2.160010405370879
2.25,fit_mu,2.2496781308647584,2.093913278740067,2.4170185631088326
2.25,mix_fit_mu,2.2173071184078252,1.8816633320873069,2.4364993822136998
2.5,fit_mu,2.4950414915942765,2.32128839185532,2.685991877182797
2.5,mix_fit_mu,2.472575772278711,2.189112839378949,2.6958452035765452
2.75,fit_mu,2.744602166369827,2.54887101472869,2.9304328488263613
2.75,mix_fit_mu,2.7280645180348664,2.456978827104452,2.9428552169797992
3,fit_mu,3.003691840206342,2.8003688194947536,3.239453941725849
3,mix_fit_mu,2.9799926057903092,2.691005671457842,3.241383585141313
