R_change,var,var_lower,var_upper
-2.5,3.1059359359359364,1.8937120870870872,5.029070770770769
-2,1.9754084084084083,0.7305685185185187,3.7199171921921925
-1.5,1.13575975975976,-0.3101012012012013,2.5375606606606604
-1,0.429341841841842,-0.5929441941941938,1.7833080830830834
-0.5,0.09451451451451476,-0.9608184934934936,1.4568279029029028
0,-0.01751751751751751,-1.3464699449449455,1.3292947947947942
0.5,0.12455455455455455,-1.071657257257257,1.5118940940940946
1,0.4823203203203197,-0.7199169169169176,1.7147742742742733
1.5,1.1352277277277274,-0.018172697697697974,2.3993378378378356
2,1.8285985985985986,0.38765192692692685,3.8051481481481484
2.5,2.9832197197197194,1.2745292292292292,4.871572047047046
